entity_isin,assets_count,priority_assets_count,sensitive_locations,biodiversity_importance,high_ecosystem_integrity,decline_in_ecosystem_integrity,physical_water_risk,ecosystem_services_provision_importance,proximity_to_protected_areas,proximity_to_kbas,species_rarity_weighted_richness,species_threat_abatement,species_threat_abatement_marine,proximity_to_mangroves,ecosystem_integrity_index,biodiversity_intactness_index,ocean_health_index,trend_in_ecosystem_integrity_index,deforestation_hotspots,water_availability,water_pollution,drought,riverine_flood,coastal_flood,cumulative_impact_on_oceans,critical_areas_for_biodiversity_and_ncp,areas_of_importance_for_biodiversity_and_climate
US00486H1059,1,0,0.3394,0.2531,0.3394,0.0399,0.4013,0.0812,0.0,0.2609,1.0,0.2296,0.0,0.0,0.0,0.3394,,0.0399,0.0,0.0,0.5,0.4013,0.1234,0.0,,0.0812,
US00507V1098,28,7,0.4739,0.0894,0.3806,0.2242,0.7223,0.3948,0.3263,0.0501,0.1666,0.085,0.1357,0.0,0.0002,0.3489,0.7154,0.2242,0.0,0.7045,0.8636,0.5316,0.2897,0.0712,0.4189,0.3919,0.435
US00508Y1029,1,0,0.3776,0.2652,0.2441,0.3627,0.3776,0.4007,1.0,0.0,0.3521,0.0045,0.0,0.0,0.0,0.2441,,0.3627,0.0,0.5,0.25,0.3776,0.0657,0.0,,0.0842,0.7171
US0050981085,1,0,0.5037,0.1438,0.5037,0.0578,0.5917,0.4819,0.8462,0.0,0.0596,0.01,0.1718,0.0,0.0,0.5037,,0.0578,0.0,0.5,1.0,0.2838,0.4157,0.3075,0.6223,0.4588,0.505
US00650F1093,1,0,0.3419,0.1686,0.3238,0.0243,0.3419,0.6843,0.9163,0.0,0.1351,0.1797,0.1008,0.0,0.0,0.3238,,0.0243,0.0,0.25,0.75,0.3612,0.236,0.2374,0.2839,1.0,0.3686
US00653Q1022,1,0,0.4388,0.0034,0.329,0.4388,0.5,0.2263,0.4139,0.0,,0.0034,0.0,0.0,0.0,0.329,,0.4388,0.0,0.5,1.0,0.3716,0.0541,0.0,,0.2263,
US0067391062,1,0,0.3059,0.0,0.263,0.1468,0.75,0.3059,0.0,0.0,,0.0015,0.0,0.0,0.0,0.263,,0.1468,0.0,0.75,0.75,0.4576,0.2845,0.0,,0.0765,0.5353
US00676P1075,1,1,1.0,1.0,0.2424,0.0139,1.0,0.5128,1.0,0.0,,1.0,0.1381,0.0,0.0,0.2424,,0.0139,0.0,1.0,1.0,0.3631,0.6311,0.3263,,0.8235,0.202
US0070021086,1,1,0.848,0.848,0.3976,0.0866,1.0,0.5508,1.0,0.0,0.3921,1.0,0.1381,0.0,0.0,0.3976,,0.0866,0.0,1.0,1.0,0.3631,0.6311,0.3263,,0.6875,0.4141
US00724F1012,95,15,0.5089,0.1982,0.3387,0.2351,0.6407,0.4854,0.3873,0.1089,0.2383,0.1108,0.1066,0.0,0.0,0.3347,0.6805,0.2419,0.0,0.5704,0.7711,0.5166,0.3111,0.1318,0.4085,0.4313,0.5192
US00737L1035,2,0,0.386,0.0,0.2289,0.386,0.75,0.3448,0.85,0.0,,0.0,0.0,0.0,0.0,0.2289,,0.386,0.0,0.75,0.75,0.5137,0.4117,0.0,,0.0028,0.6868
US00751Y1064,2805,334,0.4752,0.1273,0.4874,0.1141,0.4859,0.4349,0.4047,0.037,0.1762,0.046,0.0693,0.0,0.002,0.4864,0.7135,0.1144,0.0,0.4601,0.5775,0.3848,0.2199,0.0568,0.4576,0.284,0.6558
US00760J1088,1,1,0.8834,0.8834,0.4079,0.0137,1.0,0.6362,1.0,0.0,0.5338,1.0,0.1381,0.0,0.0,0.4079,,0.0137,0.0,1.0,1.0,0.3631,0.6311,0.3263,,0.9794,0.2929
US00766T1007,2,1,0.6489,0.061,0.6025,0.5289,0.7546,0.3331,0.0,0.0,0.1199,0.0614,0.0908,0.0,0.0982,0.6025,,0.5289,0.0,0.875,0.625,0.4804,0.4604,0.4001,0.3626,0.2457,0.4204
US00773J2024,1,0,0.4942,0.0896,0.3646,0.3366,0.5,0.4942,0.6149,0.0,0.0535,0.0115,0.1017,0.0,0.0,0.3646,,0.3366,0.0,0.5,1.0,0.2838,0.4157,0.3075,,0.2611,0.7272
US00773T1016,1,0,0.3685,0.0636,0.3685,0.2864,0.3521,0.5708,0.6553,0.0,0.0825,0.007,0.0,0.0,0.0,0.3685,,0.2864,0.0,0.25,0.75,0.3521,0.0494,0.0,,0.2528,0.8888
US0078001056,2,0,0.5656,0.5211,0.2579,0.2708,0.8444,0.5656,0.5211,0.3963,,0.0008,1.0,0.0,0.0,0.2579,,0.2708,0.0,1.0,1.0,0.367,0.2016,0.001,0.3775,1.0,0.1313
US0079031078,77,14,0.4912,0.1793,0.3473,0.2127,0.6422,0.4334,0.3342,0.0784,0.3336,0.1395,0.0266,0.0,0.0,0.3466,0.7503,0.216,0.0,0.6192,0.6885,0.5315,0.3955,0.1603,0.4454,0.4459,0.4477
US00790R1041,1,0,0.3324,0.0545,0.2864,0.0636,0.5,0.3324,0.5923,0.0,0.0718,0.0025,0.0,0.0,0.0,0.2864,,0.0636,0.0,0.5,0.5,0.5019,0.0213,0.0,,0.2306,0.4343
US00791N1028,1,0,0.3047,0.0008,0.2755,0.1906,0.5,0.3047,0.0,0.0,0.1241,0.0011,0.0,0.0,0.0,0.2755,,0.1906,0.0,0.25,0.5,0.5423,0.0322,0.0,,0.0438,0.5656
US0079731008,1,0,0.2562,0.0009,0.2562,0.0817,0.5,0.0823,0.001,0.0,0.0598,0.0004,0.0,0.0,0.0,0.2562,,0.0817,0.0,1.0,0.5,0.3727,0.0577,0.0,,0.0029,0.1616
US0080641071,1,0,0.5,0.1017,0.4633,0.4672,0.5,0.5384,0.896,0.0,,0.0142,0.1017,0.0,0.0,0.4633,,0.4672,0.0,0.5,1.0,0.2838,0.4157,0.3075,,0.3395,0.7373
US0080731088,1,0,0.3857,0.1954,0.2416,0.2271,0.3857,0.4279,0.2352,0.0,0.0761,0.0018,0.2926,0.0,0.0,0.2416,,0.2271,0.0,0.0,1.0,0.3857,0.0358,0.0,,0.1083,0.7474
