entity_isin,country_code,assets_count,percentage_of_assets_in_country
AU000000DOW2,USA,1,0.25
AU000000DTL4,AUS,1,0.07142857142857142
AU000000DTL4,CHN,7,0.5
AU000000DTL4,ITA,1,0.07142857142857142
AU000000DTL4,PAN,1,0.07142857142857142
AU000000DTL4,RUS,4,0.2857142857142857
AU000000DXS1,AUS,5,1.0
AU000000DYL4,AUS,1,1.0
AU000000EMR4,AUS,1,0.5
AU000000EMR4,KHM,1,0.5
AU000000EVN4,AUS,10,0.7692307692307693
AU000000EVN4,CAN,3,0.23076923076923078
AU000000FLT9,AUS,1,1.0
AU000000FMG4,AUS,10,1.0
AU000000GEM7,AUS,1,1.0
AU000000GMD9,AUS,3,1.0
AU000000GMG2,AUS,5,0.15151515151515152
AU000000GMG2,BRA,1,0.030303030303030304
AU000000GMG2,CHN,4,0.12121212121212122
AU000000GMG2,CZE,1,0.030303030303030304
AU000000GMG2,DEU,2,0.06060606060606061
AU000000GMG2,ESP,1,0.030303030303030304
AU000000GMG2,FRA,2,0.06060606060606061
AU000000GMG2,GBR,2,0.06060606060606061
AU000000GMG2,HUN,1,0.030303030303030304
AU000000GMG2,ITA,2,0.06060606060606061
AU000000GMG2,JPN,3,0.09090909090909091
AU000000GMG2,LUX,2,0.06060606060606061
AU000000GMG2,NLD,2,0.06060606060606061
AU000000GMG2,NZL,1,0.030303030303030304
AU000000GMG2,POL,1,0.030303030303030304
AU000000GMG2,SVK,1,0.030303030303030304
AU000000GMG2,USA,2,0.06060606060606061
AU000000GNC9,AUS,2,1.0
AU000000GOR5,AUS,2,0.6666666666666666
AU000000GOR5,CMR,1,0.3333333333333333
AU000000GOZ8,AUS,1,1.0
AU000000GPT8,AUS,3,1.0
AU000000GRR8,AUS,1,1.0
AU000000GWA4,AUS,1,1.0
AU000000HSN3,AUS,1,1.0
AU000000HUB4,AUS,1,1.0
AU000000HVN7,AUS,1,1.0
AU000000IAG3,AUS,3,1.0
AU000000IDX2,AUS,1,1.0
AU000000IEL5,ARE,2,0.03571428571428571
AU000000IEL5,AUS,6,0.10714285714285714
AU000000IEL5,BGD,3,0.05357142857142857
AU000000IEL5,CAN,2,0.03571428571428571
AU000000IEL5,EGY,1,0.017857142857142856
AU000000IEL5,IDN,2,0.03571428571428571
AU000000IEL5,IND,21,0.375
AU000000IEL5,KHM,1,0.017857142857142856
AU000000IEL5,LKA,2,0.03571428571428571
AU000000IEL5,MYS,7,0.125
AU000000IEL5,NZL,1,0.017857142857142856
AU000000IEL5,PAK,1,0.017857142857142856
AU000000IEL5,PHL,1,0.017857142857142856
AU000000IEL5,SAU,2,0.03571428571428571
AU000000IEL5,THA,2,0.03571428571428571
AU000000IEL5,USA,1,0.017857142857142856
AU000000IEL5,VNM,1,0.017857142857142856
AU000000IFL2,AUS,1,1.0
AU000000ILU1,AUS,4,0.5
AU000000ILU1,SLE,4,0.5
AU000000IMD5,AUS,1,1.0
AU000000IMU9,AUS,1,1.0
AU000000ING6,AUS,1,1.0
AU000000IPH9,AUS,1,1.0
AU000000IPL1,AUS,2,0.6666666666666666
AU000000IPL1,USA,1,0.3333333333333333
AU000000IRE2,AUS,1,1.0
